countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,product,commodity_id,unit,priceflag,pricetype,currency,mp_price,usdprice,year,Unit_Weight,Price_Norm
NGA,2010-07-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,445.79,2.96,2010,1.0,445.79
NGA,2010-07-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,212.3,1.41,2010,1.0,212.3
NGA,2010-07-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,376.65,2.5,2010,1.0,376.65
NGA,2010-08-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,196.56,1.31,2010,1.0,196.56
NGA,2010-08-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,505.44,3.36,2010,1.0,505.44
NGA,2010-08-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,188.74,1.26,2010,1.0,188.74
NGA,2010-08-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,166.99,1.11,2010,1.0,166.99
NGA,2010-08-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,448.23,2.98,2010,1.0,448.23
NGA,2010-08-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,203.33,1.35,2010,1.0,203.33
NGA,2010-09-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,424.98,2.81,2010,1.0,424.98
NGA,2010-09-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,184.41,1.22,2010,1.0,184.41
NGA,2010-09-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,404.3,2.67,2010,1.0,404.3
NGA,2010-09-15,Kano,Dawakin Tofa,Dawanau,1976,12.09,8.43,cereals and tubers,Maize (white),67,100 KG,actual,Wholesale,NGN,4200.0,27.77,2010,100.0,42.0
NGA,2010-09-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,121.77,0.81,2010,1.0,121.77
NGA,2010-09-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,466.13,3.08,2010,1.0,466.13
NGA,2010-09-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,138.76,0.92,2010,1.0,138.76
NGA,2010-09-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,430.11,2.84,2010,1.0,430.11
NGA,2010-09-15,Oyo,Ibadan North,Ibadan,1975,7.4,3.92,cereals and tubers,Maize (white),67,100 KG,actual,Wholesale,NGN,4500.0,29.75,2010,100.0,45.0
NGA,2010-09-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,335.48,2.22,2010,1.0,335.48
NGA,2010-10-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,146.52,0.96,2010,1.0,146.52
NGA,2010-10-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,424.98,2.79,2010,1.0,424.98
NGA,2010-10-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,406.45,2.67,2010,1.0,406.45
NGA,2010-10-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,458.58,3.01,2010,1.0,458.58
NGA,2010-10-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,421.07,2.77,2010,1.0,421.07
NGA,2010-10-15,Oyo,Ibadan North,Ibadan,1975,7.4,3.92,cereals and tubers,Maize (white),67,100 KG,actual,Wholesale,NGN,4500.0,29.57,2010,100.0,45.0
NGA,2010-10-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,206.61,1.36,2010,1.0,206.61
NGA,2010-10-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,334.15,2.2,2010,1.0,334.15
NGA,2010-11-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,413.1,2.74,2010,1.0,413.1
NGA,2010-11-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,186.77,1.24,2010,1.0,186.77
